name,start_date,end_date
Año Nuevo,2020-01-10,2020-01-10
Jueves Santo,2020-03-29,2020-03-29
Viernes Santo,2020-03-30,2020-03-30
Sábado Santo,2020-03-31,2020-03-31
Domino de Resurrección,2020-04-01,2020-04-01
Día del Trabajo,2020-05-01,2020-05-01
Día de la Madre,2020-05-10,2020-05-10
Día del Padre,2020-06-17,2020-06-17
Fiestas de San Salvador,2020-08-03,2020-08-03
Fiestas de San Salvador,2020-08-05,2020-08-05
Fiestas de San Salvador,2020-08-06,2020-08-06
Día de la Independencia,2020-09-15,2020-09-15
Día de los Muertos,2019-11-02,2019-11-02
Día de Navidad,2019-12-25,2019-12-25
Día de los Muertos,2020-11-02,2020-11-02
Día de Navidad,2020-12-25,2020-12-25
